,gr,dt,rhob,phie,sw,zone
mean,41.4909407934928,82.68830740903714,2395.5892111368375,0.19930992528163563,0.6265208115550733,nor
cv,0.5018987395227706,0.11143395064093753,0.034075124890811825,0.25373680047989733,0.40184491226785335,nor
mean,43.99788733236525,84.62752665072178,2398.3996787981555,0.19602452848722987,0.49388958685829004,sou
cv,0.5981367919174425,0.12764134501221822,0.03604632600791638,0.24790988537879954,0.5281065274664136,sou
mean,42.744577366574205,83.6580433515086,2396.9946280426457,0.19766701287218158,0.5601965595479892,res
cv,0.5559386364920482,0.12056662238513159,0.035080726868185585,0.25103428757928653,0.4726463349097805,res
mean,29.19846431574021,75.96382780080448,2413.9059451270195,0.18713558597091529,0.7346604504842136,nres
cv,0.6201274376916474,0.132333691349148,0.03882718704422625,0.2783867088640865,0.3490693487933496,nres
mean,32.946655982110464,78.0928071248497,2409.226605930223,0.1900496179443811,0.6863865213035157,quis
cv,0.6294772908496609,0.136176620420204,0.0379682200026346,0.27171090529887193,0.3937902316784092,quis
