,SW,phie,GR,ILD,RHOB,,,,,,,,,,,,,,,,,,,,
count,219425,219425,219425,219425,219425,,,,,,,,,,,,,,,,,,,,
mean,0.709877408,0.164497877,51.96481919,3.434263651,2453.547924,,,,,,,,,,,,,,,,,,,,
std,0.137146502,0.044120389,26.64432877,7.961059599,77.37981459,,,,,,,,,,,,,,,,,,,,
min,0.21061,0.0119,10.3,0.5289,2145.5986,,,,,,,,,,,,,,,,,,,,
25%,0.61411,0.136,30.67,1.3738,2394.0894,,,,,,,,,,,,,,,,,,,,
50%,0.71957,0.1721,46.97,1.8019,2443.8064,,,,,,,,,,,,,,,,,,,,
75%,0.80563,0.1963,64.58,3.0588,2518.4907,,,,,,,,,,,,,,,,,,,,
max,1,0.3056,150.48,748.3657,2666.426,,,,,,,,,,,,,,Classe,0,0,0,0,0,0
count,123262,123262,123262,123262,123262,,,,,Classe,0,0,1,1,2,2,,,N,219425,,123262,,125532,
mean,0.352410156,0.238887161,38.36175845,451.0106221,2322.954329,,,,,,Média,CV,Média,CV,Média,CV,,,,mean,std,mean,std,mean,std
std,0.149477159,0.03155006,20.62244062,3407.086593,46.68611082,,,,,SW,0.71,0.193,0.352,0.424,0.581,0.221,,,SW,0.709877408,0.137146502,0.352410156,0.149477159,0.580614784,0.128091844
min,0.064609,0.1268,10.24,0.6009,2072.6975,,,,,phie,0.164,0.268,0.239,0.132,0.215,0.14,,,phie,0.164497877,0.044120389,0.238887161,0.03155006,0.215170178,0.030101776
25%,0.23771,0.2172,22.92,2.7101,2293.37945,,,,,GR,51.965,0.513,38.362,0.538,30.932,0.384,,,GR,51.96481919,26.64432877,38.36175845,20.62244062,30.93156757,11.8637888
50%,0.33869,0.233,29.89,9.04115,2324.0348,,,,,ILD,3.434,2.318,451.011,7.554,7.738,3.755,,,ILD,3.434263651,7.961059599,451.0106221,3407.086593,7.738270001,29.05863483
75%,0.44981,0.2587,49.6575,39.05775,2352.965125,,,,,RHOB,2453.548,0.032,2322.954,0.02,2370.844,0.019,,,RHOB,2453.547924,77.37981459,2322.954329,46.68611082,2370.84407,45.93492447
max,0.96535,0.3612,138.43,52313.4141,2572.1299,,,,,N,219425,,123262,,125532,,,,,,,,,,
count,125532,125532,125532,125532,125532,,,,,,,,,,,,,,,,,,,,
mean,0.580614784,0.215170178,30.93156757,7.738270001,2370.84407,,,,,,,,,,,,,,,,,,,,
std,0.128091844,0.030101776,11.8637888,29.05863483,45.93492447,,,,,,,,,,,,,,,,,,,,
min,0.18851,0.098,10.23,0.5289,2160.7305,,,,,,,,,,,,,,,,,,,,
25%,0.4902075,0.1971,21.96,1.6502,2341.6436,,,,,,,,,,,,,,,,,,,,
50%,0.573125,0.2116,27.45,2.6714,2369.54945,,,,,,,,,,,,,,,,,,,,
75%,0.67689,0.2274,38.98,5.932425,2394.804075,,,,,,,,,,,,,,,,,,,,
max,0.99081,0.3612,81.76,1652.8936,2598.7981,,,,,,,,,,,,,,,,,,,,
