,Vb,Vp,OIP,HCPV,Case
0,1464575253.6486347,289473679.4785518,160858746.1901462,58466804.91445979,Melani
1,1464575253.6486347,289473679.4785518,160858746.1901462,160858746.1901462,Volume Total
2,1464575253.6486347,289498051.92238826,168253948.44353992,168253948.44353992,Volume Total - Porosidade Constante (Valor médio)
3,1464575253.6486347,289473679.4785518,168217671.45593604,168217671.45593604,Volume Total - Saturação de Água Constante (Valor médio)
4,1464575253.6486347,289473679.4785518,160858746.1901462,45025777.13118391,NG 50%
5,1464575253.6486347,289473679.4785518,160858746.1901462,13138639.8811443,NG 75%
6,1464575253.6486347,289473679.4785518,160858746.1901462,2718101.2231662325,NG 90%
7,1464575253.6486347,289473679.4785518,160858746.1901462,81279961.60160027,NG = GMM P'(0)
8,494984688.6770291,80125495.36021812,57005116.02941462,57005116.02941462,Kmeans 0
9,599029636.5267881,128637460.14322948,56538027.85380642,56538027.85380642,Kmeans 1
10,370560928.44481695,80710723.97510426,47315602.30692514,47315602.30692514,Kmeans 2
11,686609334.956265,112941137.29834989,79456163.10824402,79456163.10824402,GMM 0
12,385372060.242308,92060718.18237306,32318450.78040787,32318450.78040787,GMM 1
13,392593858.450061,84471823.99782893,49084132.30149432,49084132.30149432,GMM 2
